dates,adjusted,open,high,low,close,betaYearDay,sigmaDay60,pbr,institutional,foreigners,kodexGBond3Year,vkospi200,wonPerYen,wonPerDollar,dowjones,shanghai,goldFuture,wtiNY,kospi,kospi200IT,logreturn,lrClass
2010-09-29,21850,21500,22200,21500,21850,1.235706,0.000752,2.36,2180,2130,53120,16.67,1363.408222,1140.9,10835.28,2610.68,1308.5,77.8,1866.45,1262.66,0.013636575,2
2010-09-30,22150,22050,22300,21750,22150,1.246412,0.00075,2.4,1706,1123,53130,16.77,1366.175237,1139.8,10788.05,2655.66,1307.8,80,1872.81,1256.12,0.013453118,2
2010-10-01,22450,22100,22450,21900,22450,1.255937,0.000718,2.43,1510,1853,53270,16.35,1359.116022,1131.6,10829.68,2655.66,1316.1,81.6,1876.73,1249.06,0.002224695,2
2010-10-04,22500,22600,22950,22450,22500,1.255948,0.000708,2.43,1260,1762,53245,16.53,1347.163929,1123.4,10751.27,2655.66,1315.4,81.6,1879.29,1248.18,0.011049836,2
2010-10-05,22750,22350,22750,22000,22750,1.242374,0.000709,2.46,173,1117,53275,16.45,1361.381967,1130.9,10944.72,2655.66,1338.9,82.8,1878.94,1240.31,0.028170877,3
2010-10-06,23400,23300,23600,23100,23400,1.248225,0.00072,2.53,5379,2032,53255,16.2,1348.649301,1118.3,10967.65,2655.66,1346.4,83.2,1903.95,1258.04,-0.008583744,1
2010-10-07,23200,23250,23500,22950,23200,1.248219,0.000719,2.51,1182,995,53265,16.27,1355.48536,1115.7,10948.58,2655.66,1333.9,81.6,1900.85,1252.21,0.012848142,2
2010-10-08,23500,23200,23700,23150,23500,1.233003,0.000699,2.54,962,1096,53300,16.21,1370.936201,1121.7,11006.48,2738.74,1344.2,82.7,1897.07,1246.2,-0.0501741,0
2010-10-11,22350,23750,23800,22250,22350,1.244964,0.000716,2.42,-669,1205,53285,16.7,1362.411607,1117.45,11010.34,2806.94,1353.3,82.3,1889.91,1227.09,0.011123585,2
2010-10-12,22600,22450,23000,22400,22600,1.237296,0.000711,2.44,635,1815,53325,16.82,1383.101003,1131.1,11020.4,2841.41,1345.7,81.7,1868.04,1221.06,0.034786116,3
2010-10-13,23400,23000,23500,22950,23400,1.252258,0.000662,2.53,1879,2288,53290,16.5,1369.480122,1119.55,11096.08,2861.36,1369.5,83,1876.15,1234.38,-0.002139038,1
2010-10-14,23350,23600,23800,23050,23350,1.246619,0.000661,2.53,426,1720,53530,16.28,1363.161774,1109.75,11094.57,2879.64,1376.7,82.6,1899.76,1251.37,0.010649728,2
2010-10-15,23600,23200,23650,23050,23600,1.250955,0.000662,2.55,1253,484,53615,16.43,1365.810179,1110.95,11062.78,2971.16,1371.1,81.3,1902.29,1264.57,-0.030109801,0
2010-10-18,22900,23700,23700,22800,22900,1.247549,0.000675,2.48,571,529,53605,18.71,1373.59862,1114.95,11143.69,2955.23,1371.2,83.2,1875.42,1253.68,-0.002185793,1
2010-10-19,22850,22900,23350,22600,22850,1.24456,0.000645,2.47,2113,570,53475,19.62,1378.760088,1127.55,10978.62,3001.85,1335.1,79.5,1857.32,1241.71,0.044927342,3
